,tweet_id,retweet_count,favorite_count
2260,667174963120574464,69,218
2261,667171260800061440,71,186
2262,667165590075940865,964,2375
2263,667160273090932737,50,219
2264,667152164079423490,14567,42151
2265,667138269671505920,1861,4000
2266,667119796878725120,105,284
2267,667090893657276420,105,286
2268,667073648344346624,103,351
2269,667070482143944705,12,72
2270,667065535570550784,40,143
2271,667062181243039745,45,192
2272,667044094246576128,43,163
2273,667012601033924608,185,393
2274,666996132027977728,78,213
2275,666983947667116034,842,2237
2276,666837028449972224,467,701
2277,666835007768551424,65,183
2278,666826780179869698,78,218
2279,666817836334096384,209,442
2280,666804364988780544,78,206
2281,666786068205871104,408,657
2282,666781792255496192,168,324
2283,666776908487630848,148,303
2284,666739327293083650,59,207
2285,666701168228331520,181,371
2286,666691418707132416,41,160
2287,666649482315059201,524,993
2288,666644823164719104,68,207
2289,666454714377183233,179,447
2290,666447344410484738,19,90
2291,666437273139982337,40,106
2292,666435652385423360,41,137
2293,666430724426358785,160,276
2294,666428276349472768,67,139
2295,666421158376562688,90,272
2296,666418789513326592,39,107
2297,666411507551481857,262,371
2298,666407126856765440,30,93
2299,666396247373291520,68,147
2300,666373753744588802,73,162
2301,666362758909284353,468,649
2302,666353288456101888,56,179
2303,666345417576210432,122,241
2304,666337882303524864,79,168
2305,666293911632134144,289,424
2306,666287406224695296,55,123
2307,666273097616637952,66,151
2308,666268910803644416,38,98
2309,666104133288665088,5457,12849
2310,666102155909144576,11,66
2311,666099513787052032,53,134
2312,666094000022159362,63,142
2313,666082916733198337,37,92
2314,666073100786774016,130,273
2315,666071193221509120,51,127
2316,666063827256086533,180,396
2317,666058600524156928,47,99
2318,666057090499244032,112,247
2319,666055525042405380,196,367
2320,666051853826850816,699,1023
2321,666050758794694657,50,115
2322,666049248165822465,36,88
2323,666044226329800704,115,246
2324,666033412701032449,36,100
2325,666029285002620928,39,112
2326,666020888022790149,420,2285
